listing_id,comments,canceled,notice
533943,1,0.0,
882380,3,0.3333333333333333,2.0
1279956,4,0.0,
1665188,1,0.0,
2617879,1,0.0,
2926013,131,0.0,
3302606,154,0.05194805194805195,41.375
3348403,41,0.0,
3580685,1,0.0,
4190717,3,0.0,
4759463,1,0.0,
5145517,21,0.0,
5982978,5,0.2,130.0
6742681,7,0.0,
6863503,22,0.0,
7300044,11,0.18181818181818182,8.0
7408071,5,0.0,
7931243,1,0.0,
8109470,8,0.125,45.0
8564696,6,0.0,
8660911,2,0.0,
8897385,35,0.0,
8984237,4,0.0,
9070954,20,0.0,
9751604,7,0.0,
10786108,1,0.0,
10844796,4,0.0,
10977080,26,0.0,
11055934,1,0.0,
11837960,14,0.0,
12407260,12,0.3333333333333333,18.5
12771616,2,0.0,
12914628,10,0.0,
13562381,28,0.03571428571428571,19.0
13562628,1,0.0,
13562725,32,0.0,
13563023,8,0.125,3.0
13564137,37,0.0,
13567897,46,0.0,
13568268,10,0.1,11.0
13568932,26,0.0,
13570112,31,0.0,
13570174,8,0.25,4.5
13570321,3,0.0,
13570398,3,1.0,15.0
13570995,8,0.0,
13571231,3,0.0,
13572756,73,0.0136986301369863,25.0
13572875,124,0.0,
13573008,46,0.0,
13573334,3,0.3333333333333333,17.0
13573508,182,0.0,
13574136,50,0.0,
13574181,3,0.0,
13574341,41,0.0,
13574385,4,0.0,
13574665,13,0.0,
13574925,23,0.0,
13575268,6,0.0,
13575575,73,0.0,
13575756,76,0.013157894736842105,11.0
13577025,7,0.0,
13577562,19,0.0,
13577674,4,0.0,
13579685,1,0.0,
13580036,32,0.0,
13580413,108,0.0,
13581119,6,0.0,
13581224,44,0.0,
13581931,3,0.3333333333333333,8.0
13582171,34,0.029411764705882353,51.0
13582704,3,0.3333333333333333,4.0
13582718,33,0.0,
13582733,45,0.044444444444444446,11.0
13584552,1,0.0,
13584735,38,0.0,
13585472,23,0.08695652173913043,13.0
13585668,7,0.0,
13585802,6,0.16666666666666666,27.0
13586167,124,0.016129032258064516,60.0
13586302,1,0.0,
13587097,46,0.0,
13587367,6,0.0,
13587729,101,0.009900990099009901,94.0
13587755,2,0.0,
13587890,3,0.0,
13588230,8,0.125,2.0
13588401,1,0.0,
13588547,3,0.0,
13588780,90,0.0,
13589671,252,0.0,
13589872,10,0.0,
13589958,1,0.0,
13590209,1,0.0,
13593971,2,0.0,
13594306,6,0.16666666666666666,23.0
13594409,1,0.0,
13594720,21,0.0,
13594947,5,0.0,
13595129,122,0.00819672131147541,86.0
13595931,1,0.0,
